"سؤال","جواب","تنقيط"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد 5","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","تحت حكم محمد الخامس","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد ٥","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","السلطان محمد الخامس","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","السلطان محمد 5","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","السلطان محمد ٥","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","الملك محمد الخامس","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","الملك محمد 5","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس ملك المغرب","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","الشريف محمد الخامس","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس هو السلطان الذي قاد المغرب بعد الاستقلال","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس كان الحاكم الأول للمغرب بعد الاستعمار","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","السلطان محمد الخامس كان أول ملك يحمل لقب الملك في المغرب بعد الاستقلال","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس هو السلطان الذي استعاد السيادة على المغرب وأسس النظام الملكي","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس تولى الحكم في المغرب بعد انتهاء الاستعمار الفرنسي والإسباني","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","السلطان محمد الخامس أعلن المغرب دولة مستقلة تحت حكم الملوك","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس كان الزعيم الرئيسي لحركة الاستقلال في المغرب","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","تحت حكم محمد الخامس، تم تحقيق الاستقلال الوطني واستعادة السيادة الوطنية","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","السلطان محمد الخامس كان رمزًا للوحدة الوطنية والصمود ضد الاستعمار","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس تمكن من توحيد الشعب المغربي وتعزيز الوعي الوطني","2"
